Product,Gender,Accords,Description,AdditionalInfo,TopNotes,MiddleNotes,BaseNotes,love,like,ok,dislike,hate,winter,spring,summer,fall,day,night,,
Khamrah Qahwa Lattafa Perfumes,women and men,"warm spicy (100%), sweet (84.6662%), vanilla (75.5322%), coffee (59.9714%), cinnamon (56.1723%), amber (50.7268%)","Khamrah Qahwa by Lattafa Perfumes is a fragrance for women and men. This is a new fragrance. Khamrah Qahwa was launched in 2023. Top notes are Cinnamon, Cardamom and Ginger; middle notes are Praline, Candied Fruits and White Flowers; base notes are Vanilla, Coffee, Tonka Bean, Benzoin and Musk.",Not Found,"Cinnamon, Cardamom, Ginger","Praline, Candied Fruits, White Flowers","Vanilla, Coffee, Tonka Bean, Benzoin, Musk",100,34.7985,9.27961,4.3956,2.9304,100,29.9185,10.5937,90.2212,45.4016,88.9406,,
L'Eau Papier Diptyque,women and men,"musky (100%), powdery (92.7091%), yellow floral (71.5636%), woody (61.0909%), sweet (50.8547%), floral (48.4729%)",L'Eau Papier by Diptyque is a Woody fragrance for women and men. This is a new fragrance. L'Eau Papier was launched in 2023. The nose behind this fragrance is Fabrice Pellegrin.,Not Found,"Musk, White Musk, Mimosa, Sesame, Woody Notes",,,100,68.209,31.4925,19.7015,5.52239,59.469,95.2212,69.0265,85.3097,100,34.8673,,
Lust for Sun Juliette Has A Gun,women and men,"white floral (100%), sweet (57.6665%), floral (56.8591%), yellow floral (56.6665%), citrus (52.8205%), lactonic (47.6027%), musky (47.3589%), coconut (47.1794%)","Lust for Sun by Juliette Has A Gun is a Floral Fruity fragrance for women and men. This is a new fragrance. Lust for Sun was launched in 2023. Top notes are Coconut, Freesia and Bergamot; middle notes are Gardenia, Ylang-Ylang, Jasmine and Orange Blossom; base notes are White Musk, Ambroxan and Vanilla.","Floral, with notes of ylang-ylang and jasmine, radiant with hints of monoi and coconut. A dash of LUST FOR SUN lets you immerse yourself in summer. A sensual fragrance that evokes the sun's rays on warm, golden skin.
TOP NOTES: freesia, coconut, bergamot
HEART NOTES: ylang ylang, jasmine absolute, orange blossom, gardenia
BASE NOTES: vanilla, ambroxan, white musk
Available in bottles of 50 and 100 ml.","Coconut, Freesia, Bergamot","Gardenia, Ylang-Ylang, Jasmine, Orange Blossom","White Musk, Ambroxan, Vanilla",67.6606,100,49.3119,39.9083,8.25688,5.19031,54.3253,100,12.6298,82.0069,22.8374,,
Ingenious Ginger Goldfield & Banks Australia,women and men,"citrus (100%), warm spicy (66.8223%), powdery (56.263%), woody (53.5926%), vanilla (51.9246%), musky (46.734%), amber (46.2282%), fresh (45.5347%)","Ingenious Ginger by Goldfield & Banks Australia is a fragrance for women and men. This is a new fragrance. Ingenious Ginger was launched in 2023. The nose behind this fragrance is Hamid Merati-Kashani. Top notes are Ginger flower, Lemon and Bergamot; middle notes are Mandarin Orange, Magnolia, Jasmine and Rose; base notes are Vanilla, Amber, Cashmeran, Sandalwood, Musk and Patchouli.",Not Found,"Ginger flower, Lemon, Bergamot","Mandarin Orange, Magnolia, Jasmine, Rose","Vanilla, Amber, Cashmeran, Sandalwood, Musk, Patchouli",100,60.1523,21.5736,9.13706,5.07614,20.4489,90.5237,100,52.6185,92.02,28.6783,,
Blue Talisman Ex Nihilo,women and men,"citrus (100%), fruity (67.047%), sweet (65.9646%), musky (64.8478%), white floral (58.758%), warm spicy (57.2017%), oud (55.5778%), woody (55.4084%), powdery (50.0966%), fresh (48.0668%)","Blue Talisman by Ex Nihilo is a fragrance for women and men. This is a new fragrance. Blue Talisman was launched in 2023. Top notes are Pear, Bergamot, Mandarin Orange and Ginger; middle notes are Orange Blossom and Georgywood; base notes are Ambrofix?? Musk and Akigalawood.",Not Found,"Pear, Bergamot, Mandarin Orange, Ginger","Orange Blossom, Georgywood","Ambrofix?? Musk, Akigalawood",100,60.4651,28.1977,15.1163,4.36047,38.5382,100,90.3654,69.7674,95.6811,38.8704,,
Infinity Montale,women and men,"sweet (100%), warm spicy (86.9252%), fruity (83.5912%), tobacco (80.7213%), vanilla (78.822%), oud (75.2657%), amber (72.8406%), leather (70.8198%), powdery (61.0795%), aromatic (59.8268%)","Infinity by Montale is a fragrance for women and men. This is a new fragrance. Infinity was launched in 2023. The nose behind this fragrance is Pierre Montale. Top notes are Black Cherry, Plum, Saffron, Pink Pepper and Cardamom; middle notes are Oud, Leather, Sandalwood, Rose, Vetiver and Tuberose; base notes are Tobacco Leaf, Vanilla Sugar, Amber, Tonka and Musk.","""There can be no mistaking his deep gaze. His eyes are fixated to the intangible and he moves forward peacefully. At first sight, this piquant character pulls you in. The brightness of his smile, and the pink Pepper come to pick you up. Cross his path and you immediately turn away from your routine. The space around him becomes his, permeated by a purple wave of Plum and black Cherry that whisper of its sweet origin and touch your soul.
It?ôs a beautiful summer, a summer echoing its temperance and made of the sun?ôs caresses under the light sheets, of fresh Flowers opening in the morning and of starry nights in the souvenir of the scorching day.
The soft Indian Rose gently balances the Leather and black Oud in a semi-hypnotic pendulum where Sandalwood and Vanilla mingle without excess. You are touching a rare, ambered and deeply oriental feeling, a sensation whose genesis you would not know: who from the message or the messenger, who from the wake one has been left in or its wearer? Who from the top note or the heart will take you to your own immensity?
It doesn?ôt matter, because in the end, all roads lead to Infinity."" - Montale
NOTES
Black Cherry, Plum, Peruvian Pink Pepper, Cardamom & Saffron.
Black Oud & Leather, Indian Rose & Solar Tuberose, Sandalwood & Vetiver.
Vanilla Sugar, Intense Amber, Tobacco Leaves, Tonka Beans & Musk.","Black Cherry, Plum, Saffron, Pink Pepper, Cardamom","Oud, Leather, Sandalwood, Rose, Vetiver, Tuberose","Tobacco Leaf, Vanilla Sugar, Amber, Tonka, Musk",100,45.8937,21.256,14.0097,4.34783,100,59.5349,33.9535,94.8837,60.9302,89.3023,,
Ani X Nishane,women and men,"citrus (100%), woody (80.2571%), warm spicy (79.2375%), vanilla (74.9351%), aromatic (70.7282%), fresh (64.6095%), powdery (62.6971%), fruity (58.236%), aquatic (55.0807%), musky (51.4793%)","Ani X by Nishane is a fragrance for women and men. This is a new fragrance. Ani X was launched in 2023. The nose behind this fragrance is C√©cile Zarokian. Top notes are Lemon, Bergamot, Melon, Ginger, Cardamom, Water Notes and Pink Pepper; middle notes are Green Apple, Patchouli, Black Currant, Lavender, Sage and Rose; base notes are Vanilla, Sandalwood, Cashmere Wood, White Musk, Ambergris and Cedar.","ANI was the first reference launched in 2019 under the new theme ?úNO BOUNDARIES??that aimed to eliminate all emotional boundaries between people. The fragrance immediately became a global hit being often mentioned as the best vanilla scent ever. With ANI X, NISHANE wanted to enhance this mystical journey through time that the fans had with ANI, a fragrance that pays homage to an ancient metropolis that now stands as a monument to the might of empires and the inevitability of time. Just like the original bestseller, ANI X aims to break down boundaries and to empower the wearers to build their own empire from the ruins. In an attempt to reach the perfume lovers who specifically seek for the refreshening aspect of the scent, ANI X was designed to open with a richer burst of juicy citrus than the original formula of ANI. The freshness that the wearer will feel with the new ANI X on top of the well-known vanilla excellence of the original ANI will be a nice surprise for the perfume lovers.
ANI X is a fragrance with true heritage to its name, and invites you to explore how to eliminate the boundaries of time and space, to create your own empire even when all that remains is nothing but the ruins. So spray on ANI X, let the fragrance take you on a journey through the ages, and embrace the power of history in a bottle.
TOP NOTES
bergamot oil - lemon oil - watery notes - honeydew melon - cardamom oil - blue ginger - pink pepper
HEART NOTES
lavender oil - sage - green apple - blackcurrant - rose - patchouli
BASE NOTES
cedarwood - cashmere wood - vanilla - ambergris infusion - white musk - sandalwood","Lemon, Bergamot, Melon, Ginger, Cardamom, Water Notes, Pink Pepper","Green Apple, Patchouli, Black Currant, Lavender, Sage, Rose","Vanilla, Sandalwood, Cashmere Wood, White Musk, Ambergris, Cedar",100,41.3559,20.678,6.44068,5.76271,78.2258,98.7903,81.4516,100,94.3548,86.6935,,
Electric Cherry Tom Ford,women and men,"musky (100%), cherry (78.2759%), sweet (65.8957%), soft spicy (55.2578%), amber (54.735%), white floral (47.6678%)","Electric Cherry by Tom Ford is a Floral Fruity fragrance for women and men. This is a new fragrance. Electric Cherry was launched in 2023. Top notes are Cherry and Ginger; middle note is Jasmine Sambac; base notes are Pink Pepper, Ambrettolide and Musk.",Not Found,"Cherry, Ginger",Jasmine Sambac,"Pink Pepper, Ambrettolide, Musk",100,94.8148,63.3333,39.6296,40.3704,53.4884,100,93.4109,65.5039,98.062,62.0155,,
Shalimar Mill√©sime Iris Guerlain,women and men,"iris (100%), powdery (96.5645%), sweet (80.8925%), caramel (79.4226%), vanilla (77.9527%), earthy (58%), violet (47.3623%), citrus (47.2704%), musky (46.9027%), woody (45.7269%)","Shalimar Mill√©sime Iris by Guerlain is a Amber Vanilla fragrance for women and men. This is a new fragrance. Shalimar Mill√©sime Iris was launched in 2023. The nose behind this fragrance is Delphine Jelk. Top note is Bergamot; middle note is Italian Orris Root; base notes are Caramel, Madagascar Vanilla, Vanillin and Musk.",Not Found,Bergamot,Italian Orris Root,"Caramel, Madagascar Vanilla, Vanillin, Musk",100,37.1014,11.0145,4.05797,2.6087,100,54.7718,35.2697,98.3402,84.2324,82.5726,,
Borabora Giardini Di Toscana,women and men,"white floral (100%), sweet (86.4955%), vanilla (64.876%), yellow floral (64.0707%), coconut (61.5928%), powdery (52.0839%), fruity (51.5576%), musky (47.9645%), caramel (47.0353%), lactonic (45.8895%)","Borabora by Giardini Di Toscana is a fragrance for women and men. This is a new fragrance. Borabora was launched in 2023. The nose behind this fragrance is Silvia Martinelli. Top notes are Tiare Flower, Ylang Ylang, Jasmine and Apricot; middle notes are Coconut Milk, White Musk and Jasmolactone; base notes are Vanilla, White Musk, Caramel and Amber.",Not Found,"Tiare Flower, Ylang Ylang, Jasmine, Apricot","Coconut Milk, White Musk, Jasmolactone","Vanilla, White Musk, Caramel, Amber",100,59.6774,31.8548,24.5968,8.87097,16.129,71.6846,100,23.2975,87.0968,34.767,,
